site,category_name,category_id
ID,Party Dress,7275
ID,Blouse?,7276
ID,Blouse?,7276
ID,Shirt,7277
ID,Shirt,7277
ID,Tshirt,7278
ID,Tshirt,7278
ID,Tanktop,7279
ID,Tanktop,7279
ID,Vest,7280
ID,Vest,7280
ID,Blazer,7281
ID,Blazer,7281
ID,Sweater,7282
ID,Sweater,7282
ID,Cardigan,7283
ID,Cardigan,7283
ID,Jacket,7284
ID,Jacket,7284
ID,Coat,7285
ID,Coat,7285
ID,Cotton Pants,7286
ID,Cotton Pants,7286
ID,Jogger,7287
ID,Jogger,7287
ID,Cullote,7288
ID,Cullote,7288
ID,Highwaist Pants,7289
ID,Highwaist Pants,7289
ID,Short,7290
ID,Short,7290
ID,Ripped jeans,7291
ID,Ripped jeans,7291
ID,Skinny jeans,7292
ID,Skinny jeans,7292
ID,Boyfriend jeans,7293
ID,Boyfriend jeans,7293
ID,Short Jeans,7294
ID,Short Jeans,7294
ID,Mini Skirt,7296
ID,Mini Skirt,7296
ID,Flare Skirt,7297
ID,Flare Skirt,7297
ID,Pencil Skirt,7298
ID,Pencil Skirt,7298
ID,Maxi Skirt,7300
ID,Maxi Skirt,7300
ID,Bra,7301
ID,Bra,7301
ID,Panty,7303
ID,Panty,7303
ID,G-string,7304
ID,G-string,7304
ID,Dress,7305
ID,Dress,7305
ID,Pajamas set,7306
ID,Pajamas set,7306
ID,Lingerie,7307
ID,Lingerie,7307
ID,Batik Top,7308
ID,Batik Top,7308
ID,Batik Bottom,7309
ID,Batik Bottom,7309
ID,Batik Dress,7310
ID,Batik Dress,7310
ID,Couple Batik,7311
ID,Couple Batik,7311
ID,Kebaya Top,7312
ID,Kebaya Top,7312
ID,Maternity dress,7314
ID,Maternity dress,7314
ID,Maternity tops,7315
ID,Maternity tops,7315
ID,Breastfeeding wear,7316
ID,Breastfeeding wear,7316
ID,Choker,7317
ID,Choker,7317
ID,Ethnic,7318
ID,Ethnic,7318
ID,Pearl Necklace,7319
ID,Pearl Necklace,7319
ID,Pendant,7320
ID,Pendant,7320
ID,Bangle,7321
ID,Bangle,7321
ID,Pearl,7323
ID,Pearl,7323
ID,Couple Ring,7326
ID,Couple Ring,7326
ID,Posts,7327
ID,Posts,7327
ID,Hoops,7328
ID,Hoops,7328
ID,Hooks,7329
ID,Hooks,7329
ID,Clip,7330
ID,Clip,7330
ID,Frame,7331
ID,Frame,7331
ID,Sunglasses,7332
ID,Sunglasses,7332
ID,Headbands,7334
ID,Headbands,7334
ID,Bobby Pin,7335
ID,Bobby Pin,7335
ID,Hair Knot,7336
ID,Hair Knot,7336
ID,Hair Clip,7337
ID,Hair Clip,7337
ID,Cap,7339
ID,Cap,7339
ID,Beanies,7340
ID,Beanies,7340
ID,Fashion,7383
