内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9502700,313251274304,US,https://www.ebay.com/itm/313251274304,Women Long Sleeve Crew Neck Floral Print T Shirt Casual Loose Blouse Tunic Tops,gljfc168,US,"US,New York,Oceanside",12,12.49-,3,13
9437234,313229315155,US,https://www.ebay.com/itm/313229315155,Women Long Sleeve Crew Neck Leopard Print Blouse Casual Loose Tunic Tops T Shirt,gljfc168,US,"US,New York,Oceanside",12,12.09-,5,14
9510543,313320267372,US,https://www.ebay.com/itm/313320267372,Women High Neck Long Sleeve Bodycon Pencil Knit Sexy Party Casual Mini Dress,gljfc168,US,"US,New York,Oceanside",12,12.09-,8,23
9510801,313232096247,US,https://www.ebay.com/itm/313232096247,Women V Neck Long Sleeve T Shirt Casual Criss Cross Blouse Loose Drawstring Tops,gljfc168,US,"US,New York,Oceanside",9,8.79-,38,90
9497668,313232211073,US,https://www.ebay.com/itm/313232211073,Women Fall V Neck Long Sleeve T Shirt Casual Solid Blouse Loose Tunic Basic Tops,gljfc168,US,"US,New York,Oceanside",11,10.99-,42,110
9510559,133570918561,US,https://www.ebay.com/itm/133570918561,Women Long Sleeve Buttons T Shirt V Neck Casual Tops Loose Blouse Floral Tunic,wowlife78,US,"US,New York,Oceanside",11,10.99-,0,1
9510548,313294352243,US,https://www.ebay.com/itm/313294352243,Women Casual Slim Long Sleeve V Neck T Shirt Floral Tops Loose Commute Blouse,gljfc168,US,"US,New York,Oceanside",12,12.09-,10,17
9510549,193773316943,US,https://www.ebay.com/itm/193773316943,Women V Neck Stripe Cat Print T Shirt Long Sleeve Tunic Loose Casual Tops Blouse,dynast_56,US,"US,New York,Oceanside",13,12.59-,2,3
9510550,313303902514,US,https://www.ebay.com/itm/313303902514,Women Long Sleeve Crew Neck Cat Print T Shirt Tee Loose Tunic Casual Tops Blouse,gljfc168,US,"US,New York,Oceanside",13,12.75-,26,74
8507200,193639808929,US,https://www.ebay.com/itm/193639808929, Women Summer Cold Shoulder Solid Tops Tunic Short Sleeve Blouse Casual T-Shirt,dynast_56,US,"US,New York,Oceanside",10,9.55-,7,29
9508805,313279188455,US,https://www.ebay.com/itm/313279188455,Women Casual Long Sleeve Lace T Shirt Crew Neck Basic Loose Blouse Tunic,gljfc168,US,"US,New York,Oceanside",13,13.19-,10,27
9491303,203187158801,US,https://www.ebay.com/itm/203187158801,Women Winter Hooded Hoodie Casual Long Sleeve Sweatshirt Pullover Jumper Tops,dufeit-7,CN,"US,California,Pomona",12,11.99-,2,3
9510551,363102390646,US,https://www.ebay.com/itm/363102390646,Women's Cold Shoulder Long Sleeve Blouse Tee Ladies Casual V Neck Tops T-Shirt,downlightdirect,CN,"US,California",8,7.99-,14,40
9493628,313293097851,US,https://www.ebay.com/itm/313293097851,Women Casual Long Sleeve Sweatshirt T Shirt Blouse Loose Pullover Tunic Tops Tee,gljfc168,US,"US,New York,Oceanside",11,10.99-,5,18
9428618,313254890565,US,https://www.ebay.com/itm/313254890565,Women Long Sleeve Hooded Sweatshirt Camouflage Casual Hoodies Top Loose Pullover,gljfc168,US,"US,New York,Oceanside",13,13.19-,9,18
9497002,313282879144,US,https://www.ebay.com/itm/313282879144,US Women Leather Slim Fit Jacket Coat Ladies Casual Zipper Biker Blazer Outwear,quickyoung,HK,"US,California",11,10.99-,1,2
