内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9513691.00,254790202460.00,UK,https://www.ebay.co.uk/itm/254790202460,Women Winter Fluffy Collar Fur Lined Jacket Warm Thick Outwear Hooded Denim Coat,brownhappy2018,CN,"GB,London(GB)",23.99,23.99-,0.00,4.00
,,,,,,,,,,,
9513692.00,373324495088.00,UK,https://www.ebay.co.uk/itm/373324495088,UK Women's Ladies Fluffy Faux Fur Jacket Coat Warm Thick Outwear Parka Plus Size,nelme_78,PH,"GB,Leicester",19.49,19.49-,0.00,1.00
,,,,,,,,,,,
9513693.00,232529384470.00,UK,https://www.ebay.co.uk/itm/232529384470,UNISEX MENS WOMENS HOODED ZIP ONE PIECE 1ONESIE PLAYSUIT PLAIN ALL IN 1 JUMPSUIT,quality-basics-uk,GB,"GB,Stalybridge",15.99,15.99-,3.00,8.00
,,,,,,,,,,,
9513694.00,293806012758.00,UK,https://www.ebay.co.uk/itm/293806012758,Women Warm Ski Suit Waterproof Jumpsuit Snow Suit Outdoor Sport Romper Winter,abovestair5,CN,"CN,Shanghai",26.99,26.99-,2.00,5.00
,,,,,,,,,,,
9513698.00,254690630524.00,UK,https://www.ebay.co.uk/itm/254690630524,Women Striped Long Playsuit Romper Ladies OL Short Sleeve Buttons Shirt Jumpsuit,x-buying,China,"GB,London (GB)",6.44,6.44-,0.00,0.00
,,,,,,,,,,,
9513695.00,303316871199.00,UK,https://www.ebay.co.uk/itm/303316871199,HOT Women's Contrasting Faux Lamb Wool Padded Coat Winter Warm Zip Jacket S-5XL ,8.97,CN,"CN,北京,北京市",26.99,26.99-,1.00,2.00
,,,,,,,,,,,
9513699.00,363088900390.00,UK,https://www.ebay.co.uk/itm/363088900390,Womens Velvet Long Sleeve Longline Maxi Cardigan Duster Coat Tops Slim Outwear,avaoomeek,China,"HK,Hong Kong",14.49,14.49-,0.00,0.00
,,,,,,,,,,,
9513696.00,264870023457.00,UK,https://www.ebay.co.uk/itm/264870023457,Women Teddy Bear Polar Fleece Coat Zip Up Jacket Winter Warmer Casual Outerwear,mocotop,China,"GB,Leicester",16.89,16.89-,0.00,0.00
,,,,,,,,,,,
9469203.00,353257706713.00,UK,https://www.ebay.co.uk/itm/353257706713, 2PCS Women Tracksuits Set Lounge Wear Ladies Top Hoodies Suit Pants Loungewear,imgrowth,GB,"GB,Romford",3.46,3.46-,33.00,87.00
,,,,,,,,,,,
9509900.00,254763537014.00,UK,https://www.ebay.co.uk/itm/254763537014,2PCS Womens Tracksuit Sweatshirt Tops + Pants Set Casual Jogging Lounge Wear,x-buying,CN,"GB,London",13.10,13.1-,8.00,29.00
,,,,,,,,,,,
9502417.00,254667919409.00,UK,https://www.ebay.co.uk/itm/254667919409,2PCS Women Long Sleeve Tops + Pants Tracksuit Set Ladies Casual Suit Lounge Wear,x-buying,CN,"GB,London",8.79,8.79-,10.00,15.00
,,,,,,,,,,,
9493849.00,402598822177.00,UK,https://www.ebay.co.uk/itm/402598822177,Womens Joggers Trousers Tracksuit Bottoms Casual Jogging Gym Pants Lounge Wear,euronita,GB,"GB,Ilford",5.99,5.99-,3.00,10.00
,,,,,,,,,,,
9515321.00,174549839467.00,UK,https://www.ebay.co.uk/itm/174549839467,2PC Women Letter Printed Tracksuits Set Lounge Wear Ladies Casual Top Suit Pants,easyvocabulary,HK,"GB,London GB",11.39,11.39-,0.00,6.00
